,ID,bias,hate
117,117,none,none
118,118,none,none
119,119,none,none
120,120,none,none
121,121,none,none
122,122,none,none
123,123,none,hate
124,124,others,hate
125,125,none,hate
126,126,gender,hate
127,127,gender,hate
128,128,none,none
129,129,gender,hate
130,130,none,none
131,131,none,hate
132,132,none,none
133,133,gender,hate
134,134,none,hate
135,135,none,none
136,136,none,hate
137,137,none,none
138,138,none,none
139,139,none,hate
140,140,none,none
141,141,none,hate
142,142,gender,none
143,143,none,none
144,144,none,none
145,145,none,hate
146,146,none,none
147,147,none,hate
148,148,none,hate
149,149,none,none
150,150,others,hate
151,151,none,none
152,152,none,none
153,153,gender,hate
154,154,gender,hate
155,155,none,hate
156,156,none,hate
157,157,others,hate
158,158,none,none
159,159,none,none
160,160,none,none
161,161,gender,hate
162,162,none,none
163,163,none,hate
164,164,others,hate
165,165,gender,hate
166,166,none,hate
167,167,none,hate
168,168,gender,hate
169,169,none,none
170,170,gender,hate
171,171,none,none
172,172,none,none
173,173,none,none
174,174,gender,hate
175,175,others,hate
176,176,gender,hate
177,177,none,hate
178,178,gender,hate
179,179,none,none
180,180,none,none
181,181,others,hate
182,182,gender,hate
183,183,others,hate
184,184,others,hate
185,185,others,hate
186,186,none,none
187,187,others,hate
188,188,none,none
189,189,none,none
190,190,none,hate
191,191,none,hate
192,192,others,hate
193,193,none,hate
194,194,others,hate
195,195,none,hate
196,196,gender,hate
197,197,none,hate
198,198,none,hate
199,199,none,none
200,200,none,none
201,201,none,hate
202,202,none,none
203,203,none,hate
204,204,gender,hate
205,205,others,hate
206,206,none,none
207,207,none,none
208,208,none,hate
209,209,others,hate
210,210,none,none
211,211,others,hate
212,212,none,none
213,213,none,hate
214,214,none,none
215,215,none,none
216,216,gender,none
217,217,none,none
218,218,others,hate
219,219,none,hate
220,220,none,hate
221,221,others,hate
222,222,none,none
223,223,none,hate
224,224,others,hate
225,225,none,none
226,226,others,hate
227,227,none,none
228,228,others,hate
229,229,others,hate
230,230,gender,hate
231,231,none,none
232,232,none,hate
233,233,none,hate
234,234,gender,hate
235,235,gender,hate
236,236,none,none
237,237,none,none
238,238,none,none
239,239,gender,hate
240,240,gender,hate
241,241,gender,hate
242,242,gender,hate
243,243,none,none
244,244,none,none
245,245,others,hate
246,246,gender,hate
247,247,none,hate
248,248,none,none
249,249,none,none
250,250,none,hate
251,251,none,hate
252,252,none,hate
253,253,none,hate
254,254,none,hate
255,255,none,none
256,256,none,none
257,257,none,hate
258,258,gender,hate
259,259,gender,hate
260,260,none,hate
261,261,none,hate
262,262,others,hate
263,263,none,none
264,264,none,none
265,265,none,none
266,266,gender,hate
267,267,gender,hate
268,268,none,hate
269,269,none,none
270,270,others,hate
271,271,gender,hate
272,272,none,none
273,273,none,none
274,274,none,none
275,275,none,none
276,276,none,hate
277,277,none,hate
278,278,none,hate
279,279,others,hate
280,280,none,hate
281,281,gender,none
282,282,gender,hate
283,283,none,none
284,284,none,none
285,285,none,none
286,286,none,hate
287,287,others,hate
288,288,none,none
289,289,none,hate
290,290,none,hate
291,291,none,hate
292,292,none,hate
293,293,none,none
294,294,others,hate
295,295,none,hate
296,296,others,hate
297,297,others,hate
298,298,none,none
299,299,none,none
300,300,gender,hate
301,301,gender,hate
302,302,none,hate
303,303,others,hate
304,304,none,hate
305,305,none,none
306,306,none,none
307,307,none,hate
308,308,others,hate
309,309,others,hate
310,310,none,none
311,311,none,hate
312,312,gender,hate
313,313,gender,hate
314,314,gender,hate
315,315,none,hate
316,316,none,none
317,317,gender,hate
318,318,others,hate
319,319,none,hate
320,320,none,none
321,321,none,hate
322,322,none,hate
323,323,none,hate
324,324,none,none
325,325,others,hate
326,326,others,hate
327,327,none,hate
328,328,gender,hate
329,329,none,hate
330,330,gender,hate
331,331,none,none
332,332,none,hate
333,333,none,hate
334,334,none,none
335,335,none,none
336,336,none,none
337,337,gender,hate
338,338,none,hate
339,339,none,hate
340,340,others,hate
341,341,none,hate
342,342,gender,hate
343,343,others,hate
344,344,others,hate
345,345,none,hate
346,346,none,none
347,347,others,hate
348,348,gender,hate
349,349,others,hate
350,350,none,none
351,351,others,hate
352,352,none,hate
353,353,none,hate
354,354,none,none
355,355,none,hate
356,356,none,none
357,357,others,hate
358,358,gender,hate
359,359,others,hate
360,360,none,none
361,361,others,hate
362,362,none,none
363,363,none,none
364,364,none,hate
365,365,gender,none
366,366,none,none
367,367,none,hate
368,368,none,hate
369,369,none,none
370,370,others,hate
371,371,none,none
372,372,none,none
373,373,none,none
374,374,gender,none
375,375,none,hate
376,376,gender,hate
377,377,none,none
378,378,none,none
379,379,others,hate
380,380,none,none
381,381,none,none
382,382,none,none
383,383,others,hate
384,384,none,none
385,385,none,none
386,386,others,hate
387,387,none,none
388,388,gender,none
389,389,none,none
390,390,none,hate
391,391,none,none
392,392,none,none
393,393,gender,hate
394,394,others,hate
395,395,none,none
396,396,gender,hate
397,397,none,none
398,398,none,hate
399,399,none,hate
400,400,others,hate
401,401,gender,hate
402,402,none,hate
403,403,none,hate
404,404,gender,hate
405,405,none,hate
406,406,none,hate
407,407,gender,none
408,408,none,hate
409,409,none,hate
410,410,none,none
411,411,none,hate
412,412,gender,hate
413,413,others,hate
414,414,none,hate
415,415,none,none
416,416,others,hate
417,417,none,none
418,418,none,none
419,419,gender,hate
420,420,others,hate
421,421,none,hate
422,422,none,none
423,423,none,hate
424,424,others,hate
425,425,others,hate
426,426,none,hate
427,427,others,hate
428,428,none,none
429,429,gender,hate
430,430,others,hate
431,431,none,none
432,432,gender,none
433,433,none,none
434,434,none,hate
435,435,none,none
436,436,none,none
437,437,none,none
438,438,gender,hate
439,439,none,hate
440,440,others,hate
441,441,none,none
442,442,gender,hate
443,443,gender,hate
444,444,none,none
445,445,others,hate
446,446,gender,hate
447,447,gender,hate
448,448,none,none
449,449,gender,hate
450,450,none,none
451,451,none,none
452,452,none,hate
453,453,none,hate
454,454,none,none
455,455,gender,hate
456,456,others,hate
457,457,none,hate
458,458,gender,hate
459,459,none,hate
460,460,none,none
461,461,none,none
462,462,none,hate
463,463,others,hate
464,464,gender,hate
465,465,none,hate
466,466,none,hate
467,467,none,none
468,468,others,hate
469,469,none,hate
470,470,gender,hate
471,471,gender,hate
472,472,others,hate
473,473,none,hate
474,474,gender,hate
475,475,none,hate
476,476,none,none
477,477,none,hate
478,478,gender,hate
479,479,none,hate
480,480,none,none
481,481,none,hate
482,482,others,hate
483,483,gender,hate
484,484,none,hate
485,485,none,hate
486,486,none,none
487,487,none,none
488,488,none,none
489,489,none,none
490,490,none,hate
491,491,others,hate
492,492,none,hate
493,493,none,hate
494,494,none,none
495,495,gender,hate
496,496,none,none
497,497,none,hate
498,498,gender,hate
499,499,others,hate
500,500,none,hate
501,501,none,hate
502,502,none,none
503,503,none,hate
504,504,others,hate
505,505,none,hate
506,506,none,hate
507,507,none,none
508,508,gender,hate
509,509,others,hate
510,510,none,hate
