,ID,bias,hate,label
333,333,none,hate,1
334,334,none,none,0
335,335,none,none,0
336,336,none,none,0
337,337,gender,hate,5
338,338,none,hate,1
339,339,none,hate,1
340,340,others,hate,3
341,341,none,hate,1
342,342,gender,hate,5
343,343,others,hate,3
344,344,others,hate,3
345,345,none,hate,1
346,346,none,none,0
347,347,others,hate,3
348,348,gender,hate,5
349,349,others,hate,3
350,350,none,none,0
351,351,others,hate,3
352,352,none,hate,1
353,353,none,hate,1
354,354,none,none,0
355,355,none,hate,1
356,356,none,none,0
357,357,others,hate,3
358,358,gender,hate,5
359,359,others,hate,3
360,360,none,none,0
361,361,others,hate,3
362,362,none,none,0
363,363,none,none,0
364,364,none,hate,1
365,365,gender,hate,5
366,366,none,none,0
367,367,none,hate,1
368,368,none,hate,1
369,369,none,none,0
370,370,others,hate,3
371,371,none,none,0
372,372,none,none,0
373,373,none,none,0
374,374,gender,hate,5
375,375,none,hate,1
376,376,gender,hate,5
377,377,none,none,0
378,378,none,none,0
379,379,others,hate,3
380,380,none,none,0
381,381,none,none,0
382,382,none,none,0
383,383,others,hate,3
384,384,none,none,0
385,385,none,none,0
386,386,others,hate,3
387,387,none,none,0
388,388,gender,hate,5
389,389,none,none,0
390,390,none,hate,1
391,391,none,none,0
392,392,none,none,0
393,393,gender,hate,5
394,394,others,hate,3
395,395,none,none,0
396,396,gender,hate,5
397,397,none,none,0
398,398,none,hate,1
399,399,none,hate,1
400,400,others,hate,3
401,401,gender,hate,5
402,402,none,hate,1
403,403,none,hate,1
404,404,gender,hate,5
405,405,none,hate,1
406,406,none,hate,1
407,407,gender,hate,5
408,408,none,hate,1
409,409,none,hate,1
410,410,none,none,0
411,411,none,hate,1
412,412,gender,hate,5
413,413,others,hate,3
414,414,none,hate,1
415,415,none,none,0
416,416,others,hate,3
417,417,none,none,0
418,418,none,none,0
419,419,gender,hate,5
420,420,others,hate,3
421,421,none,hate,1
422,422,none,none,0
423,423,none,hate,1
424,424,others,hate,3
425,425,others,hate,3
426,426,none,hate,1
427,427,others,hate,3
428,428,none,none,0
429,429,gender,hate,5
430,430,others,hate,3
431,431,none,none,0
432,432,gender,hate,5
433,433,none,none,0
434,434,none,hate,1
435,435,none,none,0
436,436,none,none,0
437,437,none,none,0
438,438,gender,hate,5
439,439,none,hate,1
440,440,others,hate,3
441,441,none,none,0
442,442,gender,hate,5
443,443,gender,hate,5
444,444,none,none,0
445,445,others,hate,3
446,446,gender,hate,5
447,447,gender,hate,5
448,448,none,none,0
449,449,gender,hate,5
450,450,none,none,0
451,451,none,none,0
452,452,none,hate,1
453,453,none,hate,1
454,454,none,none,0
455,455,gender,hate,5
456,456,others,hate,3
457,457,none,hate,1
458,458,gender,hate,5
459,459,none,hate,1
460,460,none,none,0
461,461,none,none,0
462,462,none,hate,1
463,463,others,hate,3
464,464,gender,hate,5
465,465,none,hate,1
466,466,none,hate,1
467,467,none,none,0
468,468,others,hate,3
469,469,none,hate,1
470,470,gender,hate,5
471,471,gender,hate,5
472,472,others,hate,3
473,473,none,hate,1
474,474,gender,hate,5
475,475,none,hate,1
476,476,none,none,0
477,477,none,hate,1
478,478,gender,hate,5
479,479,none,hate,1
480,480,none,none,0
481,481,none,hate,1
482,482,others,hate,3
483,483,gender,hate,5
484,484,none,hate,1
485,485,none,hate,1
486,486,none,none,0
487,487,none,none,0
488,488,none,none,0
489,489,none,none,0
490,490,none,hate,1
491,491,others,hate,3
492,492,none,hate,1
493,493,none,hate,1
494,494,none,none,0
495,495,gender,hate,5
496,496,none,none,0
497,497,none,hate,1
498,498,gender,hate,5
499,499,others,hate,3
500,500,none,hate,1
501,501,none,hate,1
502,502,none,none,0
503,503,none,hate,1
504,504,others,hate,3
505,505,none,hate,1
506,506,none,hate,1
507,507,none,none,0
508,508,gender,hate,5
509,509,others,hate,3
510,510,none,hate,1
