,ID,bias,hate
119,119,none,none
120,120,none,none
121,121,none,none
122,122,none,none
123,123,others,hate
124,124,gender,hate
125,125,none,hate
126,126,gender,hate
127,127,gender,hate
128,128,none,none
129,129,others,hate
130,130,none,hate
131,131,none,hate
132,132,none,none
133,133,gender,hate
134,134,none,hate
135,135,none,hate
136,136,none,hate
137,137,none,none
138,138,none,none
139,139,none,none
140,140,none,none
141,141,others,hate
142,142,gender,hate
143,143,none,none
144,144,none,none
145,145,none,hate
146,146,none,none
147,147,none,none
148,148,none,hate
149,149,none,none
150,150,none,hate
151,151,none,none
152,152,none,none
153,153,gender,hate
154,154,gender,hate
155,155,none,none
156,156,others,hate
157,157,others,hate
158,158,none,hate
159,159,none,none
160,160,none,none
161,161,gender,hate
162,162,none,none
163,163,none,none
164,164,others,hate
165,165,gender,hate
166,166,none,none
167,167,none,hate
168,168,none,hate
169,169,none,none
170,170,gender,hate
171,171,others,hate
172,172,none,none
173,173,none,none
174,174,gender,hate
175,175,others,hate
176,176,gender,hate
177,177,none,none
178,178,gender,hate
179,179,none,none
180,180,none,none
181,181,others,hate
182,182,gender,hate
183,183,none,none
184,184,others,hate
185,185,others,hate
186,186,none,none
187,187,gender,hate
188,188,none,none
189,189,none,none
190,190,none,none
191,191,others,hate
192,192,none,hate
193,193,others,hate
194,194,none,none
195,195,none,none
196,196,gender,hate
197,197,none,hate
198,198,others,hate
199,199,none,none
200,200,none,hate
201,201,none,hate
202,202,gender,hate
203,203,none,hate
204,204,gender,hate
205,205,others,hate
206,206,none,none
207,207,none,none
208,208,none,hate
209,209,none,hate
210,210,none,hate
211,211,none,hate
212,212,none,none
213,213,others,hate
214,214,none,none
215,215,none,none
216,216,none,none
217,217,none,none
218,218,others,hate
219,219,none,hate
220,220,none,none
221,221,none,hate
222,222,none,none
223,223,others,hate
224,224,none,hate
225,225,none,none
226,226,none,none
227,227,none,none
228,228,none,none
229,229,others,hate
230,230,gender,hate
231,231,none,none
232,232,none,none
233,233,none,hate
234,234,gender,hate
235,235,gender,hate
236,236,none,none
237,237,none,none
238,238,none,none
239,239,others,hate
240,240,gender,hate
241,241,others,hate
242,242,gender,hate
243,243,none,none
244,244,none,none
245,245,none,hate
246,246,none,hate
247,247,none,none
248,248,none,none
249,249,none,none
250,250,none,none
251,251,none,none
252,252,none,hate
253,253,none,hate
254,254,none,none
255,255,none,none
256,256,none,none
257,257,none,hate
258,258,gender,hate
259,259,gender,hate
260,260,none,hate
261,261,none,none
262,262,others,hate
263,263,none,hate
264,264,none,none
265,265,none,none
266,266,gender,hate
267,267,gender,hate
268,268,none,hate
269,269,none,none
270,270,others,hate
271,271,gender,hate
272,272,none,none
273,273,none,hate
274,274,others,hate
275,275,none,none
276,276,none,none
277,277,none,none
278,278,none,none
279,279,others,hate
280,280,none,hate
281,281,gender,hate
282,282,others,hate
283,283,none,none
284,284,none,none
285,285,none,none
286,286,none,hate
287,287,gender,hate
288,288,none,none
289,289,none,none
290,290,none,hate
291,291,none,hate
292,292,others,hate
293,293,none,none
294,294,others,hate
295,295,none,hate
296,296,gender,hate
297,297,gender,hate
298,298,none,none
299,299,none,none
300,300,gender,hate
301,301,gender,hate
302,302,none,none
303,303,others,hate
304,304,none,hate
305,305,none,none
306,306,none,none
307,307,none,hate
308,308,none,hate
309,309,none,hate
310,310,none,none
311,311,none,hate
312,312,gender,hate
313,313,gender,hate
314,314,gender,hate
315,315,none,none
316,316,none,none
317,317,gender,hate
318,318,others,hate
319,319,none,none
320,320,none,hate
321,321,none,none
322,322,others,hate
323,323,none,hate
324,324,none,none
325,325,none,hate
326,326,none,none
327,327,none,none
328,328,others,hate
329,329,others,hate
330,330,others,hate
331,331,none,none
332,332,none,hate
333,333,none,hate
334,334,gender,hate
335,335,none,none
336,336,others,hate
337,337,others,hate
338,338,none,none
339,339,none,none
340,340,others,hate
341,341,none,hate
342,342,gender,hate
343,343,none,hate
344,344,others,hate
345,345,none,hate
346,346,none,none
347,347,none,hate
348,348,none,none
349,349,others,hate
350,350,none,none
351,351,others,hate
352,352,none,hate
353,353,none,none
354,354,none,none
355,355,none,none
356,356,none,none
357,357,none,hate
358,358,gender,hate
359,359,none,hate
360,360,none,none
361,361,none,hate
362,362,none,none
363,363,others,hate
364,364,none,none
365,365,gender,hate
366,366,others,hate
367,367,others,hate
368,368,none,none
369,369,others,hate
370,370,others,hate
371,371,none,none
372,372,none,none
373,373,none,none
374,374,gender,hate
375,375,none,none
376,376,gender,hate
377,377,none,none
378,378,none,hate
379,379,others,hate
380,380,none,none
381,381,none,hate
382,382,none,none
383,383,none,none
384,384,none,none
385,385,none,none
386,386,others,hate
387,387,none,none
388,388,gender,hate
389,389,none,none
390,390,none,none
391,391,none,hate
392,392,none,none
393,393,gender,hate
394,394,others,hate
395,395,none,none
396,396,others,hate
397,397,none,none
398,398,none,none
399,399,others,hate
400,400,none,none
401,401,gender,hate
402,402,none,none
403,403,none,none
404,404,gender,hate
405,405,others,hate
406,406,others,hate
407,407,gender,hate
408,408,none,hate
409,409,none,none
410,410,none,none
411,411,none,hate
412,412,gender,hate
413,413,none,none
414,414,none,none
415,415,gender,hate
416,416,none,none
417,417,none,none
418,418,none,none
419,419,gender,hate
420,420,gender,hate
421,421,none,hate
422,422,none,none
423,423,none,hate
424,424,others,hate
425,425,none,hate
426,426,none,hate
427,427,others,hate
428,428,none,none
429,429,gender,hate
430,430,others,hate
431,431,none,none
432,432,gender,hate
433,433,none,none
434,434,none,none
435,435,none,none
436,436,none,none
437,437,none,none
438,438,gender,hate
439,439,none,hate
440,440,none,none
441,441,none,none
442,442,others,hate
443,443,none,hate
444,444,none,none
445,445,others,hate
446,446,gender,hate
447,447,gender,hate
448,448,none,none
449,449,gender,hate
450,450,none,none
451,451,none,none
452,452,none,hate
453,453,none,none
454,454,none,none
455,455,gender,hate
456,456,none,none
457,457,none,hate
458,458,gender,hate
459,459,none,none
460,460,none,none
461,461,none,hate
462,462,none,hate
463,463,others,hate
464,464,gender,hate
465,465,none,hate
466,466,others,hate
467,467,none,none
468,468,none,hate
469,469,none,none
470,470,gender,hate
471,471,others,hate
472,472,gender,hate
473,473,none,hate
474,474,others,hate
475,475,none,none
476,476,none,none
477,477,gender,hate
478,478,gender,hate
479,479,none,hate
480,480,none,none
481,481,none,hate
482,482,others,hate
483,483,gender,hate
484,484,none,none
485,485,none,hate
486,486,none,none
487,487,none,none
488,488,none,none
489,489,none,none
490,490,others,hate
491,491,gender,hate
492,492,none,hate
493,493,none,hate
494,494,none,none
495,495,gender,hate
496,496,none,none
497,497,none,none
498,498,others,hate
499,499,others,hate
500,500,none,hate
501,501,others,hate
502,502,none,none
503,503,none,hate
504,504,others,hate
505,505,none,none
506,506,none,hate
507,507,none,none
508,508,others,hate
509,509,none,hate
510,510,none,hate
