,ID,bias,hate
119,119,none,hate
120,120,none,none
121,121,none,none
122,122,none,none
123,123,others,hate
124,124,none,hate
125,125,none,hate
126,126,gender,hate
127,127,gender,hate
128,128,none,none
129,129,gender,hate
130,130,none,none
131,131,none,hate
132,132,none,none
133,133,gender,hate
134,134,none,hate
135,135,none,none
136,136,none,hate
137,137,none,none
138,138,none,none
139,139,none,hate
140,140,none,none
141,141,none,hate
142,142,others,hate
143,143,none,none
144,144,none,none
145,145,none,none
146,146,none,none
147,147,none,hate
148,148,none,hate
149,149,none,none
150,150,none,hate
151,151,none,none
152,152,none,none
153,153,gender,hate
154,154,others,hate
155,155,none,none
156,156,others,hate
157,157,gender,hate
158,158,none,hate
159,159,none,none
160,160,none,none
161,161,gender,hate
162,162,none,none
163,163,none,hate
164,164,others,hate
165,165,gender,hate
166,166,none,none
167,167,none,hate
168,168,none,hate
169,169,none,none
170,170,gender,hate
171,171,none,none
172,172,none,none
173,173,none,none
174,174,others,hate
175,175,none,hate
176,176,gender,hate
177,177,none,hate
178,178,others,hate
179,179,none,none
180,180,none,none
181,181,gender,hate
182,182,others,hate
183,183,none,none
184,184,gender,hate
185,185,none,hate
186,186,none,none
187,187,others,hate
188,188,none,none
189,189,none,none
190,190,none,hate
191,191,none,hate
192,192,none,hate
193,193,none,hate
194,194,none,hate
195,195,none,none
196,196,others,hate
197,197,none,hate
198,198,none,hate
199,199,none,none
200,200,none,hate
201,201,none,hate
202,202,none,hate
203,203,none,hate
204,204,others,hate
205,205,none,hate
206,206,none,none
207,207,none,hate
208,208,none,hate
209,209,none,hate
210,210,none,hate
211,211,none,hate
212,212,none,none
213,213,none,hate
214,214,none,none
215,215,none,none
216,216,others,hate
217,217,none,none
218,218,none,hate
219,219,none,hate
220,220,none,hate
221,221,none,hate
222,222,gender,hate
223,223,none,hate
224,224,none,hate
225,225,none,none
226,226,none,hate
227,227,none,none
228,228,none,hate
229,229,none,hate
230,230,others,hate
231,231,none,none
232,232,none,none
233,233,none,hate
234,234,others,hate
235,235,none,hate
236,236,none,none
237,237,none,none
238,238,none,none
239,239,others,hate
240,240,gender,hate
241,241,none,hate
242,242,gender,hate
243,243,none,none
244,244,none,none
245,245,none,hate
246,246,others,hate
247,247,none,hate
248,248,none,none
249,249,none,none
250,250,none,none
251,251,none,none
252,252,none,hate
253,253,none,hate
254,254,none,hate
255,255,none,none
256,256,none,none
257,257,none,none
258,258,others,hate
259,259,gender,hate
260,260,none,hate
261,261,none,hate
262,262,others,hate
263,263,none,none
264,264,none,hate
265,265,none,none
266,266,none,hate
267,267,others,hate
268,268,none,hate
269,269,none,none
270,270,none,hate
271,271,others,hate
272,272,none,none
273,273,none,none
274,274,none,hate
275,275,none,none
276,276,gender,hate
277,277,none,hate
278,278,none,none
279,279,gender,hate
280,280,none,none
281,281,others,hate
282,282,others,hate
283,283,none,none
284,284,none,none
285,285,none,none
286,286,none,hate
287,287,others,hate
288,288,none,none
289,289,none,none
290,290,none,hate
291,291,none,hate
292,292,none,hate
293,293,none,none
294,294,others,hate
295,295,none,hate
296,296,gender,hate
297,297,none,hate
298,298,none,none
299,299,none,none
300,300,others,hate
301,301,gender,hate
302,302,none,hate
303,303,none,hate
304,304,none,hate
305,305,none,none
306,306,none,none
307,307,none,hate
308,308,none,none
309,309,none,hate
310,310,none,none
311,311,gender,hate
312,312,others,hate
313,313,gender,hate
314,314,others,hate
315,315,none,hate
316,316,none,none
317,317,others,hate
318,318,gender,hate
319,319,none,none
320,320,none,none
321,321,none,hate
322,322,none,hate
323,323,none,hate
324,324,none,none
325,325,gender,hate
326,326,none,hate
327,327,none,none
328,328,gender,hate
329,329,none,hate
330,330,gender,hate
331,331,none,none
332,332,none,hate
333,333,none,hate
334,334,none,hate
335,335,none,none
336,336,none,hate
337,337,gender,hate
338,338,none,none
339,339,none,none
340,340,none,hate
341,341,none,hate
342,342,others,hate
343,343,none,hate
344,344,none,hate
345,345,none,hate
346,346,none,none
347,347,others,hate
348,348,none,hate
349,349,none,hate
350,350,none,none
351,351,none,hate
352,352,none,hate
353,353,none,hate
354,354,none,none
355,355,none,hate
356,356,none,none
357,357,none,hate
358,358,others,hate
359,359,others,hate
360,360,none,none
361,361,gender,hate
362,362,none,none
363,363,none,hate
364,364,none,hate
365,365,gender,hate
366,366,none,none
367,367,none,hate
368,368,none,hate
369,369,none,none
370,370,gender,hate
371,371,none,none
372,372,none,none
373,373,none,none
374,374,others,hate
375,375,none,none
376,376,gender,hate
377,377,none,none
378,378,none,none
379,379,none,hate
380,380,none,none
381,381,none,none
382,382,none,none
383,383,none,none
384,384,none,none
385,385,none,none
386,386,none,hate
387,387,none,none
388,388,others,hate
389,389,none,none
390,390,none,hate
391,391,none,hate
392,392,none,none
393,393,others,hate
394,394,gender,hate
395,395,none,none
396,396,gender,hate
397,397,none,none
398,398,none,none
399,399,none,hate
400,400,none,none
401,401,gender,hate
402,402,none,none
403,403,none,hate
404,404,none,hate
405,405,none,hate
406,406,none,hate
407,407,others,hate
408,408,none,hate
409,409,none,none
410,410,none,none
411,411,none,hate
412,412,gender,hate
413,413,none,hate
414,414,none,hate
415,415,others,hate
416,416,none,none
417,417,none,none
418,418,none,hate
419,419,gender,hate
420,420,gender,hate
421,421,none,hate
422,422,none,none
423,423,none,hate
424,424,none,hate
425,425,none,hate
426,426,none,hate
427,427,none,hate
428,428,none,none
429,429,others,hate
430,430,none,hate
431,431,none,none
432,432,others,hate
433,433,none,none
434,434,none,hate
435,435,none,hate
436,436,none,none
437,437,none,none
438,438,gender,hate
439,439,none,hate
440,440,none,hate
441,441,none,none
442,442,gender,hate
443,443,gender,hate
444,444,none,none
445,445,gender,hate
446,446,gender,hate
447,447,gender,hate
448,448,none,none
449,449,gender,hate
450,450,none,none
451,451,none,none
452,452,none,none
453,453,none,hate
454,454,none,none
455,455,others,hate
456,456,none,hate
457,457,none,hate
458,458,gender,hate
459,459,none,hate
460,460,none,none
461,461,none,hate
462,462,none,hate
463,463,none,hate
464,464,others,hate
465,465,none,hate
466,466,gender,hate
467,467,none,none
468,468,none,hate
469,469,none,hate
470,470,others,hate
471,471,gender,hate
472,472,none,hate
473,473,none,hate
474,474,gender,hate
475,475,none,none
476,476,others,hate
477,477,none,hate
478,478,others,hate
479,479,none,hate
480,480,none,none
481,481,none,none
482,482,none,hate
483,483,others,hate
484,484,none,none
485,485,none,hate
486,486,none,none
487,487,none,hate
488,488,none,none
489,489,none,hate
490,490,none,hate
491,491,gender,hate
492,492,none,hate
493,493,none,hate
494,494,none,none
495,495,none,hate
496,496,none,none
497,497,none,none
498,498,others,hate
499,499,gender,hate
500,500,none,hate
501,501,none,hate
502,502,none,none
503,503,none,hate
504,504,gender,hate
505,505,none,hate
506,506,none,hate
507,507,none,none
508,508,gender,hate
509,509,none,hate
510,510,none,hate
